"","age","gender","occupation","qqm","dsse_1","dsse_2","dsse_3","dsse_4","dsse_5","dsse_6","dsse_7","dsse_8","dsse_9","dsse_10","dsse_11","dsse_12","dsse_13","dsse_14","dsse_15","dsse_16","dsse_17","dsse_18","dsse_19","dsse_20","dsse_21","dsse_22","dsse_23","dsse_24","dsse_25","sise","open"
"173",54,"1","2","2",4,4,3,4,3,4,4,4,2,2,4,4,4,4,3,4,5,2,4,4,3,5,4,5,3,3,3
"174",20,"1","1","2",4,2,3,1,1,2,3,1,4,1,4,2,5,4,4,5,5,1,3,5,5,4,5,5,4,2,2
"175",63,"1","6","2",4,2,4,2,3,4,4,2,3,3,1,4,2,4,3,3,5,3,4,4,3,3,2,4,1,5,5
"176",29,"2","2","2",5,5,4,4,2,2,2,4,2,4,4,4,4,4,4,4,5,2,4,4,4,4,3,4,3,3,3
"177",60,"1","2","2",2,3,4,3,3,4,3,3,2,4,4,2,4,4,4,4,4,2,4,4,3,4,4,5,2,4,4
"178",60,"2","2","2",3,2,5,1,1,4,2,1,1,2,4,4,3,4,4,4,4,2,4,5,4,5,3,5,5,3,3
"179",21,"1","3","2",5,5,5,2,1,4,2,1,4,3,4,4,5,4,1,5,4,1,4,3,3,5,5,5,5,5,5
"180",21,"1","3","2",5,2,5,3,2,2,4,3,5,3,2,4,4,5,4,4,5,3,4,4,5,4,3,4,3,1,1
"181",22,"1","1","2",4,5,1,4,1,4,5,2,4,5,5,5,5,4,4,4,3,5,4,4,4,2,4,4,2,1,1
"182",27,"1","1","2",5,2,2,5,2,4,3,4,1,4,2,2,4,5,5,5,4,4,4,4,4,4,4,5,2,2,2
"183",52,"2","2","2",4,3,4,4,3,4,2,4,2,3,2,4,4,4,4,4,4,3,3,4,3,4,4,4,4,1,1
"184",20,"2","1","2",4,5,4,4,4,5,1,1,5,3,4,5,4,5,3,5,5,4,3,4,3,3,1,5,3,2,2
"185",20,"2","1","2",4,3,4,4,2,4,2,2,2,3,4,4,5,5,3,4,4,4,5,4,4,4,4,4,4,2,2
"186",55,"2","2","2",4,4,5,4,3,4,1,4,2,1,3,1,3,4,4,4,4,1,4,2,4,4,5,5,3,4,4
"187",20,"1","2","2",4,4,5,2,1,4,4,3,2,4,2,2,4,4,4,4,4,3,5,4,3,4,2,5,4,4,4
"188",22,"1","1","2",4,3,4,1,1,4,1,1,3,2,2,3,3,5,2,2,1,1,1,2,1,1,2,3,1,4,4
"189",21,"1","1","2",4,3,2,2,1,4,2,2,1,2,2,2,4,4,2,3,4,4,4,3,3,5,3,5,4,3,3
"190",20,"2","1","2",4,4,4,1,1,3,1,1,4,4,4,4,4,2,3,3,4,3,4,4,4,4,3,4,3,1,1
"191",25,"1","2","2",3,4,4,3,1,5,3,2,3,4,2,2,3,5,3,5,5,4,5,5,5,5,5,5,4,3,3
"192",31,"1","2","2",4,4,4,3,2,4,2,3,2,2,4,2,3,5,4,4,4,1,3,4,3,5,2,5,1,4,4
"193",22,"2","1","2",4,4,4,2,2,4,3,3,3,2,2,4,4,3,4,4,4,2,4,4,4,2,4,2,2,3,3
"194",21,"2","1","2",4,3,3,4,3,4,2,3,4,5,4,4,4,5,4,5,5,4,5,5,5,4,3,2,3,1,1
"195",20,"2","1","2",4,4,4,3,1,4,2,3,5,5,5,4,5,3,4,4,4,4,4,4,4,4,5,4,4,1,1
"196",20,"2","1","2",4,3,4,3,3,4,3,3,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,4,1,1
